id,name,role,bounty,devil_fruit,affiliation,crew,first_appearance_episode
1,Hody Jones,Captain,None,None,New Fish-Man Pirates,New Fish-Man Pirates,520
2,Vander Decken IX,Captain,None,Mato Mato no Mi,Flying Pirates,Flying Pirates,520
3,Rob Lucci,Assassin,None,Neko Neko no Mi (Leopard),CP9,CP9,237
4,Kaku,Assassin,None,Ushi Ushi no Mi (Giraffe),CP9,CP9,237
5,Jabra,Assassin,None,Inu Inu no Mi (Wolf),CP9,CP9,237
6,Kalifa,Assassin,None,Awa Awa no Mi,CP9,CP9,237
7,Blueno,Assassin,None,Doa Doa no Mi,CP9,CP9,237
8,Fukurou,Assassin,None,None,CP9,CP9,237
9,Kumadori,Assassin,None,None,CP9,CP9,237
10,Spandam,Chief,None,None,CP9,CP9,237
11,Perona,Pirate,None,Horo Horo no Mi,Thriller Bark Pirates,Thriller Bark Pirates,338
12,Absalom,Pirate,None,Suke Suke no Mi,Thriller Bark Pirates,Thriller Bark Pirates,338
13,Hogback,Scientist,None,None,Thriller Bark Pirates,Thriller Bark Pirates,338
14,Shirahoshi,Princess,None,None,Ryugu Kingdom,None,520
15,Fukaboshi,Prince,None,None,Ryugu Kingdom,None,520
16,Manboshi,Prince,None,None,Ryugu Kingdom,None,520
17,Ryuboshi,Prince,None,None,Ryugu Kingdom,None,520
18,Tom,Shipwright,None,None,Tom's Workers,Tom's Workers,242
19,Kokoro,Conductor,None,None,Water 7,None,242
20,Nero,Trainee,None,None,CP9,CP9,237
21,Laffitte,Navigator,None,None,Blackbeard Pirates,Blackbeard Pirates,146
22,Jesus Burgess,Helmsman,20000000,Riki Riki no Mi,Blackbeard Pirates,Blackbeard Pirates,146
23,Van Augur,Sniper,64000000,None,Blackbeard Pirates,Blackbeard Pirates,146
24,Doc Q,Doctor,72000000,None,Blackbeard Pirates,Blackbeard Pirates,146
25,Catarina Devon,Member,None,Inu Inu no Mi (Fox),Blackbeard Pirates,Blackbeard Pirates,575
26,San Juan Wolf,Member,None,None,Blackbeard Pirates,Blackbeard Pirates,575
27,Vasco Shot,Member,None,None,Blackbeard Pirates,Blackbeard Pirates,575
28,Avalo Pizarro,Member,None,None,Blackbeard Pirates,Blackbeard Pirates,575
29,Kozuki Oden,Daimyo,None,None,Whitebeard Pirates (former),Roger Pirates (former),770
30,Yamato,Samurai,None,Inu Inu no Mi (Wolf),Beast Pirates (former),Beast Pirates,982
