id,name,role,bounty,devil_fruit,affiliation,crew,first_appearance_episode
81,King,All-Star,1390000000,Ryu Ryu no Mi (Pteranodon),Beast Pirates,Beast Pirates,924
82,Queen,All-Star,1320000000,Ryu Ryu no Mi (Brachiosaurus),Beast Pirates,Beast Pirates,925
83,Jack,All-Star,1000000000,Zou Zou no Mi (Mammoth),Beast Pirates,Beast Pirates,809
84,Sheepshead,Gifters,None,None,Beast Pirates,Beast Pirates,914
85,Gin,Combatant,12000000,None,Krieg Pirates,Krieg Pirates,24
86,Don Krieg,Captain,17000000,None,Krieg Pirates,Krieg Pirates,23
87,Pearl,Combatant,8000000,None,Krieg Pirates,Krieg Pirates,24
88,Hatchan,Former Officer,8000000,None,Arlong Pirates (former),Arlong Pirates,31
89,Arlong,Captain,20000000,None,Arlong Pirates,Arlong Pirates,31
90,Kuro,Captain,16000000,None,Black Cat Pirates,Black Cat Pirates,9
91,Jango,Former Officer,9000000,None,Black Cat Pirates (former),Black Cat Pirates,10
92,Buchi,Officer,7000000,None,Black Cat Pirates,Black Cat Pirates,11
93,Sham,Officer,7000000,None,Black Cat Pirates,Black Cat Pirates,11
94,Mr. 1 (Daz Bonez),Officer Agent,75000000,None,Baroque Works,Baroque Works,91
95,Miss Doublefinger (Paula),Officer Agent,35000000,Toge Toge no Mi,Baroque Works,Baroque Works,91
96,Mr. 3 (Galdino),Officer Agent,24000000,Doru Doru no Mi,Baroque Works (former),Baroque Works,65
97,Miss Goldenweek (Marianne),Frontier Agent,14000000,None,Baroque Works,Baroque Works,65
98,Mr. 4 (Babe),Officer Agent,32000000,Kilo Kilo no Mi,Baroque Works,Baroque Works,98
99,Miss Merry Christmas (Drophy),Frontier Agent,14000000,Mogu Mogu no Mi,Baroque Works,Baroque Works,98
100,Mr. 5 (Gem),Officer Agent,10000000,Bomu Bomu no Mi,Baroque Works,Baroque Works,63
101,Miss Valentine (Mikita),Frontier Agent,9000000,Kilo Kilo no Mi,Baroque Works,Baroque Works,63
102,Wanze,CP7 Agent,None,None,CP7,CP7,259
103,Tilestone,CP7 Agent,None,None,CP7,CP7,259
104,Morley,Commander,293000000,None,Revolutionary Army,Revolutionary Army,742
105,Lindbergh,Commander,316000000,None,Revolutionary Army,Revolutionary Army,742
106,Caribou,Captain,210000000,Numa Numa no Mi,Caribou Pirates,Caribou Pirates,523
107,Coribou,Captain,190000000,None,Caribou Pirates,Caribou Pirates,523
108,Sai,Leader,210000000,None,Happo Navy,Grand Fleet,708
109,Leo,Leader,33000000,None,Tontatta Pirates,Grand Fleet,708
110,Bartolomeo,Captain,200000000,Bari Bari no Mi,Barto Club,Grand Fleet,633
